line_id,order_id,order_date,region,city,category,quantity,unit_price,discount,sales,profit,marketing_cost,category_missing,profit_missing,category_display,sales_outlier,month
L00013,DH0134,2026-06-04,Miền Nam,TP.HCM,Văn phòng phẩm,2,91000,0.0,182000,41000.0,54000,False,False,Văn phòng phẩm,False,2026-06
L00014,DH0462,2026-06-22,Miền Trung,Đà Nẵng,Gia dụng,2,98000,0.0,196000,63000.0,60000,False,False,Gia dụng,False,2026-06
L00015,DH0531,2026-06-05,Miền Bắc,Hà Nội,Thực phẩm,1,188000,0.0,188000,56000.0,19000,False,False,Thực phẩm,False,2026-06
L00016,DH0140,2026-04-17,Miền Bắc,Hà Nội,Chăm sóc cá nhân,4,66000,0.1,238000,90000.0,43000,False,False,Chăm sóc cá nhân,False,2026-04
L00017,DH0120,2026-06-18,Miền Trung,Đà Nẵng,Đồ uống,2,65000,0.1,117000,37000.0,53000,False,False,Đồ uống,False,2026-06
L00018,DH0120,2026-05-30,Miền Nam,Cần Thơ,Văn phòng phẩm,4,70000,0.05,266000,38000.0,26000,False,False,Văn phòng phẩm,False,2026-05
L00019,DH0178,2026-04-09,Miền Bắc,Hà Nội,Thực phẩm,5,126000,0.1,567000,141000.0,67000,False,False,Thực phẩm,False,2026-04
L00020,DH0399,2026-04-28,Miền Trung,Huế,Thực phẩm,5,101000,0.1,454000,80000.0,23000,False,False,Thực phẩm,False,2026-04
L00021,DH0225,2026-04-16,Miền Trung,Huế,Gia dụng,3,44000,0.0,132000,24000.0,61000,False,False,Gia dụng,False,2026-04
L00022,DH0402,2026-06-27,Miền Nam,Cần Thơ,Thực phẩm,2,46000,0.05,87000,20000.0,57000,False,False,Thực phẩm,False,2026-06
L00023,DH0495,2026-06-06,Miền Bắc,Hà Nội,Thực phẩm,6,78000,0.1,421000,174000.0,66000,False,False,Thực phẩm,False,2026-06
L00024,DH0095,2026-06-23,Miền Nam,Cần Thơ,Thực phẩm,1,83000,0.1,75000,16000.0,58000,False,False,Thực phẩm,False,2026-06
L00025,DH0279,2026-04-26,Miền Trung,Đà Nẵng,Đồ uống,5,82000,0.05,390000,121000.0,49000,False,False,Đồ uống,False,2026-04
L00026,DH0442,2026-05-28,Miền Nam,TP.HCM,Thực phẩm,3,85000,0.0,12000000,4500000.0,47000,False,False,Thực phẩm,True,2026-05
L00027,DH0361,2026-05-25,Miền Nam,Cần Thơ,Thực phẩm,6,61000,0.05,348000,99000.0,20000,False,False,Thực phẩm,False,2026-05
L00028,DH0388,2026-06-08,Miền Nam,Cần Thơ,Thực phẩm,1,87000,0.05,83000,35000.0,14000,False,False,Thực phẩm,False,2026-06
L00029,DH0277,2026-04-11,Miền Bắc,Hà Nội,Thực phẩm,3,88000,0.0,264000,82000.0,34000,False,False,Thực phẩm,False,2026-04
L00030,DH0191,2026-05-17,Miền Nam,Cần Thơ,Đồ uống,4,44000,0.0,176000,72000.0,33000,False,False,Đồ uống,False,2026-05
L00031,DH0289,2026-05-29,Miền Bắc,Hà Nội,Thực phẩm,3,38000,0.0,114000,24000.0,28000,False,False,Thực phẩm,False,2026-05
L00032,DH0087,2026-06-15,Miền Trung,Huế,Chăm sóc cá nhân,6,74000,0.1,400000,123000.0,34000,False,False,Chăm sóc cá nhân,False,2026-06
L00033,DH0007,2026-05-30,Miền Bắc,Hà Nội,Thực phẩm,6,55000,0.0,330000,55000.0,30000,False,False,Thực phẩm,False,2026-05
L00034,DH0104,2026-05-11,Miền Trung,Đà Nẵng,Đồ uống,3,35000,0.0,105000,42000.0,19000,False,False,Đồ uống,False,2026-05
L00035,DH0048,2026-05-12,Miền Bắc,Hải Phòng,Đồ uống,3,94000,0.05,268000,88000.0,51000,False,False,Đồ uống,False,2026-05
L00036,DH0243,2026-05-01,Miền Nam,TP.HCM,Thực phẩm,1,80000,0.05,76000,30000.0,24000,False,False,Thực phẩm,False,2026-05
L00037,DH0037,2026-04-15,Miền Bắc,Hà Nội,Thực phẩm,5,124000,0.0,620000,263000.0,36000,False,False,Thực phẩm,False,2026-04
L00038,DH0199,2026-04-26,Miền Trung,Huế,Thực phẩm,6,65000,0.0,390000,151000.0,58000,False,False,Thực phẩm,False,2026-04
L00039,DH0409,2026-04-14,Miền Nam,TP.HCM,Thực phẩm,2,68000,0.1,122000,54000.0,15000,False,False,Thực phẩm,False,2026-04
L00040,DH0086,2026-04-21,Miền Bắc,Hà Nội,Thực phẩm,6,35000,0.0,210000,81000.0,62000,False,False,Thực phẩm,False,2026-04
L00041,DH0437,2026-06-17,Miền Nam,Cần Thơ,Thực phẩm,3,125000,0.15,319000,87000.0,67000,False,False,Thực phẩm,False,2026-06
L00042,DH0277,2026-05-18,Miền Nam,Cần Thơ,Thực phẩm,3,87000,0.0,261000,82000.0,44000,False,False,Thực phẩm,False,2026-05
L00043,DH0259,2026-04-09,Miền Nam,TP.HCM,Gia dụng,2,99000,0.0,198000,88000.0,42000,False,False,Gia dụng,False,2026-04
L00044,DH0166,2026-05-10,Miền Nam,Cần Thơ,Đồ uống,5,59000,0.0,295000,117000.0,27000,False,False,Đồ uống,False,2026-05
L00045,DH0260,2026-04-25,Miền Nam,Cần Thơ,Gia dụng,6,64000,0.0,384000,169000.0,9000,False,False,Gia dụng,False,2026-04
L00046,DH0428,2026-05-31,Miền Nam,TP.HCM,Chăm sóc cá nhân,2,77000,0.05,146000,34000.0,47000,False,False,Chăm sóc cá nhân,False,2026-05
L00047,DH0166,2026-06-15,Miền Nam,Cần Thơ,Thực phẩm,2,47000,0.05,89000,32000.0,8000,False,False,Thực phẩm,False,2026-06
L00048,DH0451,2026-04-02,Miền Trung,Huế,Đồ uống,5,47000,0.0,235000,45000.0,69000,False,False,Đồ uống,False,2026-04
L00049,DH0084,2026-05-13,Miền Bắc,Hà Nội,Gia dụng,2,162000,0.0,324000,107000.0,15000,False,False,Gia dụng,False,2026-05
L00050,DH0425,2026-05-11,Miền Bắc,Hà Nội,Gia dụng,1,77000,0.05,73000,18000.0,56000,False,False,Gia dụng,False,2026-05
L00051,DH0342,2026-06-30,Miền Nam,TP.HCM,Chăm sóc cá nhân,6,48000,0.15,245000,59000.0,9000,False,False,Chăm sóc cá nhân,False,2026-06
L00052,DH0017,2026-05-04,Miền Bắc,Hải Phòng,Đồ uống,5,35000,0.0,175000,36000.0,66000,False,False,Đồ uống,False,2026-05
L00053,DH0043,2026-04-16,Miền Nam,TP.HCM,Thực phẩm,6,39000,0.1,211000,58000.0,9000,False,False,Thực phẩm,False,2026-04
L00054,DH0056,2026-04-18,Miền Bắc,Hải Phòng,Thực phẩm,2,76000,0.05,144000,49000.0,34000,False,False,Thực phẩm,False,2026-04
L00055,DH0331,2026-05-14,Miền Bắc,Hải Phòng,Đồ uống,4,43000,0.0,172000,74000.0,14000,False,False,Đồ uống,False,2026-05
L00056,DH0262,2026-05-25,Miền Bắc,Hải Phòng,Gia dụng,4,40000,0.0,160000,70000.0,37000,False,False,Gia dụng,False,2026-05
L00057,DH0252,2026-04-30,Miền Trung,Huế,Thực phẩm,6,60000,0.1,324000,95000.0,57000,False,False,Thực phẩm,False,2026-04
L00058,DH0194,2026-05-10,Miền Bắc,Hà Nội,Chăm sóc cá nhân,4,77000,0.1,277000,52000.0,26000,False,False,Chăm sóc cá nhân,False,2026-05
L00059,DH0296,2026-05-31,Miền Trung,Đà Nẵng,Thực phẩm,4,117000,0.05,445000,166000.0,25000,False,False,Thực phẩm,False,2026-05
L00060,DH0330,2026-04-28,Miền Nam,TP.HCM,Thực phẩm,6,45000,0.05,256000,49000.0,39000,False,False,Thực phẩm,False,2026-04
L00061,DH0284,2026-06-27,Miền Trung,Đà Nẵng,Đồ uống,6,48000,0.0,288000,98000.0,57000,False,False,Đồ uống,False,2026-06
L00062,DH0308,2026-04-20,Miền Trung,Đà Nẵng,Thực phẩm,3,78000,0.0,234000,35000.0,50000,False,False,Thực phẩm,False,2026-04
L00063,DH0327,2026-06-25,Miền Nam,Cần Thơ,Thực phẩm,5,53000,0.05,252000,47000.0,55000,False,False,Thực phẩm,False,2026-06
L00064,DH0307,2026-06-19,Miền Bắc,Hải Phòng,Đồ uống,4,96000,0.0,384000,162000.0,56000,False,False,Đồ uống,False,2026-06
L00065,DH0505,2026-06-27,Miền Nam,TP.HCM,Văn phòng phẩm,1,53000,0.0,53000,13000.0,60000,False,False,Văn phòng phẩm,False,2026-06
L00066,DH0154,2026-06-12,Miền Nam,Cần Thơ,Chăm sóc cá nhân,2,36000,0.0,72000,12000.0,41000,False,False,Chăm sóc cá nhân,False,2026-06
L00067,DH0095,2026-05-19,Miền Trung,Huế,Chăm sóc cá nhân,6,48000,0.05,274000,97000.0,43000,False,False,Chăm sóc cá nhân,False,2026-05
L00068,DH0101,2026-05-26,Miền Nam,TP.HCM,Thực phẩm,3,33000,0.0,99000,29000.0,51000,False,False,Thực phẩm,False,2026-05
L00069,DH0278,2026-04-19,Miền Nam,Cần Thơ,Thực phẩm,4,52000,0.15,177000,35000.0,44000,False,False,Thực phẩm,False,2026-04
L00070,DH0225,2026-05-02,Miền Bắc,Hà Nội,Gia dụng,3,81000,0.0,243000,67000.0,29000,False,False,Gia dụng,False,2026-05
L00071,DH0347,2026-05-13,Miền Nam,Cần Thơ,Văn phòng phẩm,5,67000,0.05,318000,66000.0,29000,False,False,Văn phòng phẩm,False,2026-05
L00072,DH0064,2026-06-26,Miền Nam,Cần Thơ,Chăm sóc cá nhân,3,62000,0.05,177000,72000.0,8000,False,False,Chăm sóc cá nhân,False,2026-06
L00073,DH0223,2026-06-12,Miền Nam,TP.HCM,Đồ uống,5,37000,0.0,185000,30000.0,66000,False,False,Đồ uống,False,2026-06
L00074,DH0416,2026-05-22,Miền Nam,TP.HCM,Chăm sóc cá nhân,4,47000,0.05,179000,74000.0,40000,False,False,Chăm sóc cá nhân,False,2026-05
L00075,DH0147,2026-05-25,Miền Trung,Đà Nẵng,Thực phẩm,6,55000,0.0,330000,117000.0,13000,False,False,Thực phẩm,False,2026-05
L00076,DH0062,2026-05-10,Miền Nam,Cần Thơ,Đồ uống,6,73000,0.0,438000,104000.0,64000,False,False,Đồ uống,False,2026-05
L00077,DH0001,2026-05-09,Miền Nam,Cần Thơ,Đồ uống,3,204000,0.05,581000,199000.0,49000,False,False,Đồ uống,False,2026-05
L00078,DH0226,2026-06-21,Miền Nam,Cần Thơ,Văn phòng phẩm,1,48000,0.05,46000,8000.0,68000,False,False,Văn phòng phẩm,False,2026-06
L00079,DH0094,2026-04-01,Miền Bắc,Hà Nội,Thực phẩm,3,100000,0.0,300000,,18000,False,True,Thực phẩm,False,2026-04
L00080,DH0196,2026-04-30,Miền Nam,Cần Thơ,Chăm sóc cá nhân,3,39000,0.1,105000,38000.0,32000,False,False,Chăm sóc cá nhân,False,2026-04
L00081,DH0115,2026-05-08,Miền Nam,Cần Thơ,Thực phẩm,5,41000,0.05,195000,39000.0,23000,False,False,Thực phẩm,False,2026-05
L00082,DH0113,2026-06-03,Miền Nam,TP.HCM,Đồ uống,1,27000,0.1,24000,6000.0,30000,False,False,Đồ uống,False,2026-06
L00083,DH0081,2026-05-08,Miền Bắc,Hải Phòng,Gia dụng,3,46000,0.05,131000,47000.0,21000,False,False,Gia dụng,False,2026-05
L00084,DH0177,2026-04-29,Miền Nam,Cần Thơ,Thực phẩm,1,105000,0.0,105000,45000.0,18000,False,False,Thực phẩm,False,2026-04
L00085,DH0409,2026-04-08,Miền Nam,TP.HCM,Đồ uống,3,65000,0.1,176000,57000.0,47000,False,False,Đồ uống,False,2026-04
L00086,DH0382,2026-04-24,Miền Bắc,Hà Nội,Gia dụng,2,113000,0.05,215000,73000.0,14000,False,False,Gia dụng,False,2026-04
L00087,DH0202,2026-04-10,Miền Nam,TP.HCM,Gia dụng,3,52000,0.15,133000,23000.0,29000,False,False,Gia dụng,False,2026-04
L00088,DH0248,2026-06-03,Miền Bắc,Hà Nội,Đồ uống,6,105000,0.05,598000,101000.0,35000,False,False,Đồ uống,False,2026-06
L00089,DH0401,2026-05-09,Miền Nam,Cần Thơ,Đồ uống,1,51000,0.1,46000,13000.0,68000,False,False,Đồ uống,False,2026-05
L00090,DH0189,2026-04-21,Miền Nam,Cần Thơ,Chăm sóc cá nhân,6,97000,0.05,553000,83000.0,44000,False,False,Chăm sóc cá nhân,False,2026-04
L00091,DH0152,2026-05-20,Miền Nam,Cần Thơ,Gia dụng,5,136000,0.05,646000,226000.0,26000,False,False,Gia dụng,False,2026-05
L00092,DH0443,2026-05-15,Miền Nam,Cần Thơ,Đồ uống,1,59000,0.0,59000,15000.0,26000,False,False,Đồ uống,False,2026-05
L00093,DH0396,2026-05-14,Miền Nam,TP.HCM,Chăm sóc cá nhân,5,36000,0.1,162000,58000.0,59000,False,False,Chăm sóc cá nhân,False,2026-05
L00094,DH0245,2026-05-23,Miền Bắc,Hà Nội,Thực phẩm,5,149000,0.1,670000,291000.0,56000,False,False,Thực phẩm,True,2026-05
L00095,DH0352,2026-05-28,Miền Nam,Cần Thơ,Chăm sóc cá nhân,6,44000,0.0,264000,111000.0,43000,False,False,Chăm sóc cá nhân,False,2026-05
L00096,DH0008,2026-04-18,Miền Nam,Cần Thơ,Chăm sóc cá nhân,1,51000,0.0,51000,23000.0,49000,False,False,Chăm sóc cá nhân,False,2026-04
L00097,DH0048,2026-04-15,Miền Bắc,Hải Phòng,Đồ uống,1,57000,0.0,57000,24000.0,40000,False,False,Đồ uống,False,2026-04
L00098,DH0272,2026-06-06,Miền Trung,Huế,Thực phẩm,4,98000,0.0,392000,55000.0,70000,False,False,Thực phẩm,False,2026-06
L00099,DH0217,2026-06-28,Miền Trung,Huế,Chăm sóc cá nhân,1,89000,0.0,89000,38000.0,69000,False,False,Chăm sóc cá nhân,False,2026-06
L00100,DH0502,2026-05-20,Miền Nam,Cần Thơ,Văn phòng phẩm,3,88000,0.0,264000,47000.0,63000,False,False,Văn phòng phẩm,False,2026-05
L00101,DH0511,2026-05-12,Miền Nam,Cần Thơ,Gia dụng,1,58000,0.0,58000,10000.0,47000,False,False,Gia dụng,False,2026-05
L00102,DH0272,2026-05-27,Miền Bắc,Hải Phòng,Gia dụng,5,60000,0.05,285000,82000.0,15000,False,False,Gia dụng,False,2026-05
L00103,DH0081,2026-04-04,Miền Trung,Đà Nẵng,Văn phòng phẩm,3,94000,0.0,282000,82000.0,46000,False,False,Văn phòng phẩm,False,2026-04
L00104,DH0027,2026-05-04,Miền Nam,Cần Thơ,Đồ uống,4,138000,0.05,524000,123000.0,51000,False,False,Đồ uống,False,2026-05
L00105,DH0249,2026-05-03,Miền Nam,Cần Thơ,Gia dụng,2,37000,0.1,67000,25000.0,33000,False,False,Gia dụng,False,2026-05
L00106,DH0403,2026-05-09,Miền Nam,Cần Thơ,Gia dụng,5,115000,0.0,575000,208000.0,50000,False,False,Gia dụng,False,2026-05
L00107,DH0399,2026-06-07,Miền Nam,TP.HCM,Thực phẩm,3,101000,0.0,303000,135000.0,11000,False,False,Thực phẩm,False,2026-06
L00108,DH0320,2026-05-16,Miền Bắc,Hà Nội,Thực phẩm,5,88000,0.05,418000,166000.0,32000,False,False,Thực phẩm,False,2026-05
L00109,DH0317,2026-06-17,Miền Trung,Huế,Thực phẩm,6,48000,0.0,288000,80000.0,10000,False,False,Thực phẩm,False,2026-06
L00110,DH0073,2026-05-13,Miền Trung,Đà Nẵng,Đồ uống,6,69000,0.05,393000,139000.0,41000,False,False,Đồ uống,False,2026-05
L00111,DH0020,2026-04-04,Miền Nam,Cần Thơ,Thực phẩm,5,78000,0.05,370000,71000.0,20000,False,False,Thực phẩm,False,2026-04
L00112,DH0336,2026-06-01,Miền Trung,Đà Nẵng,Đồ uống,5,49000,0.0,245000,49000.0,16000,False,False,Đồ uống,False,2026-06
L00113,DH0054,2026-06-12,Miền Bắc,TP.HCM,Gia dụng,2,112000,0.05,213000,70000.0,58000,False,False,Gia dụng,False,2026-06
L00114,DH0366,2026-05-23,Miền Nam,TP.HCM,Chăm sóc cá nhân,4,53000,0.05,201000,46000.0,59000,False,False,Chăm sóc cá nhân,False,2026-05
L00115,DH0337,2026-06-25,Miền Trung,Đà Nẵng,Đồ uống,3,132000,0.05,376000,73000.0,58000,False,False,Đồ uống,False,2026-06
L00116,DH0447,2026-05-08,Miền Trung,Đà Nẵng,Chăm sóc cá nhân,3,34000,0.15,87000,18000.0,46000,False,False,Chăm sóc cá nhân,False,2026-05
L00117,DH0451,2026-06-12,Miền Nam,TP.HCM,Đồ uống,3,36000,0.0,108000,17000.0,27000,False,False,Đồ uống,False,2026-06
L00118,DH0229,2026-04-01,Miền Nam,TP.HCM,Đồ uống,4,28000,0.1,101000,39000.0,10000,False,False,Đồ uống,False,2026-04
L00119,DH0180,2026-04-04,Miền Nam,Cần Thơ,Thực phẩm,1,91000,0.05,86000,23000.0,23000,False,False,Thực phẩm,False,2026-04
L00120,DH0486,2026-06-12,Miền Nam,TP.HCM,Thực phẩm,1,44000,0.0,44000,13000.0,67000,False,False,Thực phẩm,False,2026-06
L00121,DH0527,2026-06-19,Miền Nam,TP.HCM,Chăm sóc cá nhân,2,46000,0.1,83000,37000.0,36000,False,False,Chăm sóc cá nhân,False,2026-06
L00122,DH0264,2026-05-18,Miền Nam,TP.HCM,Thực phẩm,5,100000,0.05,475000,108000.0,50000,False,False,Thực phẩm,False,2026-05
L00123,DH0143,2026-06-08,Miền Nam,TP.HCM,Đồ uống,5,144000,0.0,720000,304000.0,45000,False,False,Đồ uống,True,2026-06
L00124,DH0391,2026-04-30,Miền Nam,Cần Thơ,Đồ uống,1,47000,0.15,40000,16000.0,59000,False,False,Đồ uống,False,2026-04
L00125,DH0125,2026-06-06,Miền Bắc,Hải Phòng,Gia dụng,6,122000,0.05,695000,151000.0,47000,False,False,Gia dụng,True,2026-06
L00126,DH0459,2026-05-16,Miền Bắc,Hà Nội,Thực phẩm,1,84000,0.0,84000,14000.0,51000,False,False,Thực phẩm,False,2026-05
L00127,DH0183,2026-04-28,Miền Nam,TP.HCM,Gia dụng,5,66000,0.1,297000,67000.0,38000,False,False,Gia dụng,False,2026-04
L00128,DH0515,2026-04-09,Miền Bắc,Hà Nội,Đồ uống,3,38000,0.05,108000,19000.0,10000,False,False,Đồ uống,False,2026-04
L00129,DH0223,2026-04-16,Miền Bắc,Hải Phòng,Thực phẩm,5,35000,0.05,166000,48000.0,45000,False,False,Thực phẩm,False,2026-04
L00130,DH0415,2026-06-22,Miền Nam,Cần Thơ,Thực phẩm,3,68000,0.1,184000,55000.0,46000,False,False,Thực phẩm,False,2026-06
L00131,DH0492,2026-05-11,Miền Nam,Cần Thơ,Đồ uống,5,70000,0.15,298000,108000.0,63000,False,False,Đồ uống,False,2026-05
L00132,DH0495,2026-06-30,Miền Bắc,Hà Nội,Thực phẩm,6,48000,0.0,288000,123000.0,50000,False,False,Thực phẩm,False,2026-06
L00133,DH0034,2026-05-03,Miền Bắc,Hà Nội,Gia dụng,1,42000,0.05,40000,16000.0,41000,False,False,Gia dụng,False,2026-05
L00134,DH0099,2026-04-06,Miền Nam,TP.HCM,Thực phẩm,4,36000,0.0,144000,55000.0,44000,False,False,Thực phẩm,False,2026-04
L00135,DH0102,2026-04-24,Miền Trung,Đà Nẵng,Thực phẩm,6,77000,0.0,462000,83000.0,40000,False,False,Thực phẩm,False,2026-04
L00136,DH0159,2026-05-03,Miền Nam,TP.HCM,Thực phẩm,3,89000,0.0,267000,120000.0,56000,False,False,Thực phẩm,False,2026-05
L00137,DH0051,2026-06-03,Miền Bắc,TP.HCM,Thực phẩm,2,91000,0.0,182000,58000.0,52000,False,False,Thực phẩm,False,2026-06
L00138,DH0276,2026-06-06,Miền Nam,Cần Thơ,Thực phẩm,6,87000,0.1,470000,70000.0,45000,False,False,Thực phẩm,False,2026-06
L00139,DH0366,2026-06-07,Miền Bắc,Hải Phòng,Chăm sóc cá nhân,1,52000,0.1,47000,8000.0,33000,False,False,Chăm sóc cá nhân,False,2026-06
L00140,DH0399,2026-04-29,Miền Trung,Đà Nẵng,Gia dụng,6,135000,0.0,810000,337000.0,55000,False,False,Gia dụng,True,2026-04
L00141,DH0198,2026-05-05,Miền Trung,Đà Nẵng,Thực phẩm,2,42000,0.05,80000,18000.0,41000,False,False,Thực phẩm,False,2026-05
L00142,DH0201,2026-05-22,Miền Nam,TP.HCM,Đồ uống,4,85000,0.05,323000,58000.0,23000,False,False,Đồ uống,False,2026-05
L00143,DH0011,2026-05-26,Miền Nam,TP.HCM,Đồ uống,2,55000,0.1,99000,39000.0,29000,False,False,Đồ uống,False,2026-05
L00144,DH0418,2026-05-08,Miền Bắc,Hà Nội,Chăm sóc cá nhân,2,40000,0.0,80000,30000.0,13000,False,False,Chăm sóc cá nhân,False,2026-05
L00145,DH0497,2026-04-18,Miền Bắc,Hà Nội,Thực phẩm,1,49000,0.0,49000,12000.0,16000,False,False,Thực phẩm,False,2026-04
L00146,DH0060,2026-06-10,Miền Bắc,Hải Phòng,Gia dụng,3,84000,0.0,252000,,63000,False,True,Gia dụng,False,2026-06
L00147,DH0077,2026-05-18,Miền Nam,TP.HCM,Đồ uống,2,108000,0.0,216000,39000.0,56000,False,False,Đồ uống,False,2026-05
L00148,DH0346,2026-06-27,Miền Trung,Huế,Đồ uống,6,76000,0.0,456000,149000.0,22000,False,False,Đồ uống,False,2026-06
L00149,DH0139,2026-06-26,Miền Nam,TP.HCM,Chăm sóc cá nhân,6,18000,0.0,108000,47000.0,10000,False,False,Chăm sóc cá nhân,False,2026-06
L00150,DH0101,2026-06-20,Miền Bắc,Hải Phòng,Gia dụng,4,92000,0.0,368000,54000.0,12000,False,False,Gia dụng,False,2026-06
L00151,DH0012,2026-06-27,Miền Nam,Cần Thơ,Đồ uống,5,25000,0.0,125000,46000.0,20000,False,False,Đồ uống,False,2026-06
L00152,DH0263,2026-05-27,Miền Nam,Cần Thơ,Văn phòng phẩm,2,157000,0.0,314000,66000.0,59000,False,False,Văn phòng phẩm,False,2026-05
L00153,DH0247,2026-04-28,Miền Trung,Đà Nẵng,Chăm sóc cá nhân,5,73000,0.05,347000,57000.0,16000,False,False,Chăm sóc cá nhân,False,2026-04
L00154,DH0527,2026-04-15,Miền Trung,Huế,Thực phẩm,3,70000,0.05,200000,56000.0,18000,False,False,Thực phẩm,False,2026-04
L00155,DH0523,2026-04-10,Miền Nam,Cần Thơ,Thực phẩm,1,104000,0.0,104000,30000.0,53000,False,False,Thực phẩm,False,2026-04
L00156,DH0139,2026-06-26,Miền Trung,Huế,Đồ uống,5,58000,0.0,290000,109000.0,60000,False,False,Đồ uống,False,2026-06
L00157,DH0362,2026-04-25,Miền Nam,Cần Thơ,Thực phẩm,2,59000,0.05,112000,48000.0,61000,False,False,Thực phẩm,False,2026-04
L00158,DH0309,2026-04-03,Miền Bắc,Hải Phòng,Gia dụng,3,56000,0.1,151000,63000.0,68000,False,False,Gia dụng,False,2026-04
L00159,DH0391,2026-04-04,Miền Nam,TP.HCM,Đồ uống,1,70000,0.0,70000,16000.0,47000,False,False,Đồ uống,False,2026-04
L00160,DH0535,2026-04-28,Miền Nam,Cần Thơ,Chăm sóc cá nhân,4,68000,0.05,258000,100000.0,52000,False,False,Chăm sóc cá nhân,False,2026-04
L00161,DH0037,2026-06-29,Miền Nam,TP.HCM,Văn phòng phẩm,2,73000,0.15,124000,37000.0,65000,False,False,Văn phòng phẩm,False,2026-06
L00162,DH0385,2026-04-26,Miền Bắc,Hà Nội,Gia dụng,6,15000,0.05,86000,25000.0,66000,False,False,Gia dụng,False,2026-04
L00163,DH0396,2026-04-10,Miền Nam,TP.HCM,Đồ uống,1,63000,0.1,57000,9000.0,8000,False,False,Đồ uống,False,2026-04
L00164,DH0001,2026-06-01,Miền Nam,Cần Thơ,Đồ uống,1,32000,0.15,27000,8000.0,54000,False,False,Đồ uống,False,2026-06
L00165,DH0026,2026-04-06,Miền Nam,TP.HCM,Đồ uống,4,225000,0.05,855000,222000.0,49000,False,False,Đồ uống,True,2026-04
L00166,DH0192,2026-05-15,Miền Nam,Cần Thơ,Thực phẩm,5,94000,0.15,400000,79000.0,61000,False,False,Thực phẩm,False,2026-05
L00167,DH0274,2026-04-08,Miền Trung,Huế,Đồ uống,5,100000,0.0,500000,178000.0,22000,False,False,Đồ uống,False,2026-04
L00168,DH0484,2026-04-09,Miền Nam,TP.HCM,Thực phẩm,6,82000,0.05,467000,111000.0,54000,False,False,Thực phẩm,False,2026-04
L00169,DH0243,2026-05-03,Miền Bắc,Hải Phòng,Đồ uống,1,89000,0.0,89000,37000.0,63000,False,False,Đồ uống,False,2026-05
L00170,DH0021,2026-04-02,Miền Bắc,Hà Nội,Gia dụng,4,44000,0.05,167000,71000.0,12000,False,False,Gia dụng,False,2026-04
L00171,DH0181,2026-06-17,Miền Nam,TP.HCM,Gia dụng,3,94000,0.0,282000,42000.0,23000,False,False,Gia dụng,False,2026-06
L00172,DH0089,2026-05-25,Miền Nam,TP.HCM,Thực phẩm,3,97000,0.15,247000,87000.0,37000,False,False,Thực phẩm,False,2026-05
L00173,DH0228,2026-06-24,Miền Nam,TP.HCM,Đồ uống,1,72000,0.0,72000,22000.0,62000,False,False,Đồ uống,False,2026-06
L00174,DH0464,2026-05-15,Miền Trung,Đà Nẵng,Gia dụng,2,94000,0.0,188000,76000.0,64000,False,False,Gia dụng,False,2026-05
L00175,DH0393,2026-05-21,Miền Nam,Cần Thơ,Văn phòng phẩm,5,107000,0.1,482000,171000.0,30000,False,False,Văn phòng phẩm,False,2026-05
L00176,DH0502,2026-05-25,Miền Nam,TP.HCM,Văn phòng phẩm,4,66000,0.1,238000,41000.0,67000,False,False,Văn phòng phẩm,False,2026-05
